parameterName,description
WaferReflectance0048,Generated wafer reflectance sensor data
WaferReflectance0049,Generated wafer reflectance sensor data
WaferReflectance0050,Generated wafer reflectance sensor data
WaferReflectance0051,Generated wafer reflectance sensor data
WaferReflectance0052,Generated wafer reflectance sensor data
WaferReflectance0053,Generated wafer reflectance sensor data
WaferReflectance0054,Generated wafer reflectance sensor data
WaferReflectance0055,Generated wafer reflectance sensor data
WaferReflectance0056,Generated wafer reflectance sensor data
WaferReflectance0057,Generated wafer reflectance sensor data
WaferReflectance0058,Generated wafer reflectance sensor data
WaferReflectance0059,Generated wafer reflectance sensor data
WaferReflectance0060,Generated wafer reflectance sensor data
WaferReflectance0061,Generated wafer reflectance sensor data
WaferReflectance0062,Generated wafer reflectance sensor data
WaferReflectance0063,Generated wafer reflectance sensor data
WaferReflectance0064,Generated wafer reflectance sensor data
WaferReflectance0065,Generated wafer reflectance sensor data
WaferReflectance0066,Generated wafer reflectance sensor data
WaferReflectance0067,Generated wafer reflectance sensor data
WaferReflectance0068,Generated wafer reflectance sensor data
WaferReflectance0069,Generated wafer reflectance sensor data
WaferReflectance0070,Generated wafer reflectance sensor data
WaferReflectance0071,Generated wafer reflectance sensor data
WaferReflectance0072,Generated wafer reflectance sensor data
WaferReflectance0073,Generated wafer reflectance sensor data
WaferReflectance0074,Generated wafer reflectance sensor data
WaferReflectance0075,Generated wafer reflectance sensor data
WaferReflectance0076,Generated wafer reflectance sensor data
WaferReflectance0077,Generated wafer reflectance sensor data
WaferReflectance0078,Generated wafer reflectance sensor data
WaferReflectance0079,Generated wafer reflectance sensor data
WaferReflectance0080,Generated wafer reflectance sensor data
WaferReflectance0081,Generated wafer reflectance sensor data
WaferReflectance0082,Generated wafer reflectance sensor data
WaferReflectance0083,Generated wafer reflectance sensor data
WaferReflectance0084,Generated wafer reflectance sensor data
WaferReflectance0085,Generated wafer reflectance sensor data
WaferReflectance0086,Generated wafer reflectance sensor data
WaferReflectance0087,Generated wafer reflectance sensor data
WaferReflectance0088,Generated wafer reflectance sensor data
WaferReflectance0089,Generated wafer reflectance sensor data
WaferReflectance0090,Generated wafer reflectance sensor data
WaferReflectance0091,Generated wafer reflectance sensor data
WaferReflectance0092,Generated wafer reflectance sensor data
WaferReflectance0093,Generated wafer reflectance sensor data
WaferReflectance0094,Generated wafer reflectance sensor data
